CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,2022-09-11,2022,REG,1,HOU,1,11,33,0,1,1,6,0,20,0
2,2022-09-18,2022,REG,2,HOU,1,15,69,0,1,1,8,0,39,0
3,2022-09-25,2022,REG,3,HOU,1,20,80,1,2,2,21,0,35,0
4,2022-10-02,2022,REG,4,HOU,1,14,131,1,6,6,8,0,39,0
5,2022-10-09,2022,REG,5,HOU,1,26,99,1,5,3,14,0,46,0
0,,2022,BYE,6,HOU,0,0,0,0,0,0,0,0,0,0
6,2022-10-23,2022,REG,7,HOU,1,20,92,0,4,4,25,0,34,0
7,2022-10-30,2022,REG,8,HOU,1,15,35,0,5,3,16,1,42,0
8,2022-11-03,2022,REG,9,HOU,1,27,139,0,0,0,0,0,47,0
9,2022-11-13,2022,REG,10,HOU,1,17,94,0,3,2,28,0,46,0
10,2022-11-20,2022,REG,11,HOU,1,10,8,0,3,2,9,0,43,0
11,2022-11-27,2022,REG,12,HOU,1,5,8,0,6,3,8,0,34,0
12,2022-12-04,2022,REG,13,HOU,1,18,73,0,3,3,22,0,47,0
13,2022-12-11,2022,REG,14,HOU,1,22,78,1,0,0,0,0,36,0
0,2022-12-18,2022,DNP,15,HOU,0,0,0,0,0,0,0,0,0,0
0,2022-12-24,2022,DNP,16,HOU,0,0,0,0,0,0,0,0,0,0
0,2023-01-01,2022,DNP,17,HOU,0,0,0,0,0,0,0,0,0,0
0,2023-01-08,2022,DNP,18,HOU,0,0,0,0,0,0,0,0,0,0
14,2023-09-10,2023,REG,1,HOU,1,11,38,0,3,2,9,0,36,0
15,2023-09-17,2023,REG,2,HOU,1,15,31,0,3,2,4,0,38,0
16,2023-09-24,2023,REG,3,HOU,1,14,31,1,3,3,28,0,30,0
17,2023-10-01,2023,REG,4,HOU,1,24,81,0,2,1,27,0,42,0
18,2023-10-08,2023,REG,5,HOU,1,20,66,0,1,1,16,0,34,0
19,2023-10-15,2023,REG,6,HOU,1,13,34,0,0,0,0,0,21,0
0,,2023,BYE,7,HOU,0,0,0,0,0,0,0,0,0,0
20,2023-10-29,2023,REG,8,HOU,1,12,46,0,0,0,0,0,25,0
0,2023-11-05,2023,DNP,9,HOU,0,0,0,0,0,0,0,0,0,0
0,2023-11-12,2023,DNP,10,HOU,0,0,0,0,0,0,0,0,0,0
0,2023-11-19,2023,DNP,11,HOU,0,0,0,0,0,0,0,0,0,0
21,2023-11-26,2023,REG,12,HOU,0,5,14,0,1,1,4,0,11,0
22,2023-12-03,2023,REG,13,HOU,0,15,41,1,0,0,0,0,26,0
23,2023-12-10,2023,REG,14,HOU,0,4,9,0,1,1,-2,0,8,0
24,2023-12-17,2023,REG,15,HOU,0,1,3,0,0,0,0,0,4,0
25,2023-12-24,2023,REG,16,HOU,0,3,6,0,2,1,10,0,11,6
26,2023-12-31,2023,REG,17,HOU,0,8,16,0,1,1,5,0,12,1
27,2024-01-06,2023,REG,18,HOU,0,0,0,0,0,0,0,0,0,5
28,2024-01-13,2023,POST,19,HOU,0,3,0,0,0,0,0,0,6,3
29,2024-01-20,2023,POST,20,HOU,0,0,0,0,0,0,0,0,0,1
30,2024-09-08,2024,REG,1,HOU,0,3,16,0,0,0,0,0,9,5
0,2024-09-15,2024,DNP,2,HOU,0,0,0,0,0,0,0,0,0,0
0,2024-09-22,2024,DNP,3,HOU,0,0,0,0,0,0,0,0,0,0
0,2024-09-29,2024,DNP,4,HOU,0,0,0,0,0,0,0,0,0,0
0,2024-10-06,2024,DNP,5,HOU,0,0,0,0,0,0,0,0,0,0
31,2024-10-13,2024,REG,6,HOU,0,8,76,1,1,1,1,0,18,0
32,2024-10-20,2024,REG,7,HOU,0,2,2,0,0,0,0,0,7,4
33,2024-10-27,2024,REG,8,HOU,0,1,4,0,0,0,0,0,4,5
0,2024-10-31,2024,DNP,9,HOU,0,0,0,0,0,0,0,0,0,0
0,2024-11-10,2024,DNP,10,HOU,0,0,0,0,0,0,0,0,0,0
34,2024-11-18,2024,REG,11,HOU,0,1,2,0,0,0,0,0,4,3
35,2024-11-24,2024,REG,12,HOU,0,0,0,0,0,0,0,0,0,6
36,2024-12-01,2024,REG,13,HOU,0,0,0,0,1,1,1,0,7,5
0,,2024,BYE,14,HOU,0,0,0,0,0,0,0,0,0,0
37,2024-12-15,2024,REG,15,HOU,0,0,0,0,0,0,0,0,7,4
38,2024-12-21,2024,REG,16,HOU,0,1,4,0,0,0,0,0,4,6
39,2024-12-25,2024,REG,17,HOU,0,5,13,0,0,0,0,0,14,7
40,2025-01-05,2024,REG,18,HOU,0,19,176,1,2,0,0,0,37,3
41,2025-01-11,2024,POST,19,HOU,0,2,15,0,0,0,0,0,6,4
42,2025-01-18,2024,POST,20,HOU,0,4,10,0,1,0,0,0,14,7
