CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
1,2023-09-10,2023,REG,1,JAX,0,7,13,1,1,0,0,0,15,0
2,2023-09-17,2023,REG,2,JAX,0,0,0,0,0,0,0,0,13,0
3,2023-09-24,2023,REG,3,JAX,0,2,10,1,1,0,0,0,9,0
4,2023-10-01,2023,REG,4,JAX,0,3,10,0,0,0,0,0,8,0
5,2023-10-08,2023,REG,5,JAX,0,3,8,0,0,0,0,0,13,0
6,2023-10-15,2023,REG,6,JAX,0,3,2,0,1,1,6,0,17,0
7,2023-10-19,2023,REG,7,JAX,0,2,2,0,0,0,0,0,8,0
8,2023-10-29,2023,REG,8,JAX,0,3,9,0,0,0,0,0,6,0
0,1970-01-01,2023,BYE,9,JAX,0,0,0,0,0,0,0,0,0,0
9,2023-11-12,2023,REG,10,JAX,0,3,5,0,1,0,0,0,10,3
10,2023-11-19,2023,REG,11,JAX,0,9,21,0,0,0,0,0,10,2
11,2023-11-26,2023,REG,12,JAX,0,1,6,0,0,0,0,0,2,4
12,2023-12-04,2023,REG,13,JAX,0,0,0,0,0,0,0,0,2,1
13,2023-12-10,2023,REG,14,JAX,0,0,0,0,0,0,0,0,1,6
14,2023-12-17,2023,REG,15,JAX,0,1,-2,0,0,0,0,0,1,2
15,2023-12-24,2023,REG,16,JAX,0,0,0,0,0,0,0,0,0,2
16,2023-12-31,2023,REG,17,JAX,0,10,32,0,0,0,0,0,17,5
17,2024-01-07,2023,REG,18,JAX,0,3,16,0,0,0,0,0,9,9
18,2024-09-08,2024,REG,1,JAX,0,12,73,0,0,0,0,0,17,6
19,2024-09-15,2024,REG,2,JAX,0,0,0,0,0,0,0,0,0,5
20,2024-09-23,2024,REG,3,JAX,0,2,9,0,0,0,0,0,9,1
21,2024-09-29,2024,REG,4,JAX,0,7,90,0,0,0,0,0,17,5
22,2024-10-06,2024,REG,5,JAX,0,13,101,2,1,1,28,0,23,4
23,2024-10-13,2024,REG,6,JAX,0,7,24,0,0,0,0,0,17,8
24,2024-10-20,2024,REG,7,JAX,0,26,118,2,1,0,0,0,40,0
25,2024-10-27,2024,REG,8,JAX,1,18,78,0,3,2,8,0,38,0
26,2024-11-03,2024,REG,9,JAX,0,8,22,0,0,0,0,0,28,9
27,2024-11-10,2024,REG,10,JAX,0,2,4,0,0,0,0,0,10,2
0,1970-01-01,2024,DNP,11,JAX,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2024,BYE,12,JAX,0,0,0,0,0,0,0,0,0,0
28,2024-12-01,2024,REG,13,JAX,0,7,28,0,1,1,7,0,32,0
29,2024-12-08,2024,REG,14,JAX,0,18,55,1,2,1,7,0,31,3
30,2024-12-15,2024,REG,15,JAX,0,11,42,0,1,0,0,0,22,0
31,2024-12-22,2024,REG,16,JAX,0,12,50,1,1,1,1,0,19,0
32,2024-12-29,2024,REG,17,JAX,0,11,33,0,1,0,0,0,23,3
33,2025-01-05,2024,REG,18,JAX,0,14,39,1,1,1,3,0,25,0
