Team,Season,Bye Week
Detroit Lions,1990,7
Detroit Lions,1991,7
Detroit Lions,1992,6
Detroit Lions,1993,6
Detroit Lions,1993,11
Detroit Lions,1994,7
Detroit Lions,1995,5
Detroit Lions,1996,8
Detroit Lions,1997,9
Detroit Lions,1998,6
Detroit Lions,1999,4
Detroit Lions,2000,7
Detroit Lions,2001,3
Detroit Lions,2002,5
Detroit Lions,2003,6
Detroit Lions,2004,4
Detroit Lions,2005,3
Detroit Lions,2006,8
Detroit Lions,2007,6
Detroit Lions,2008,4
Detroit Lions,2009,7
Detroit Lions,2010,7
Detroit Lions,2011,9
Detroit Lions,2012,5
Detroit Lions,2013,9
Detroit Lions,2014,9
Detroit Lions,2015,9
Detroit Lions,2016,10
Detroit Lions,2017,7
Detroit Lions,2018,6
Detroit Lions,2019,5
Detroit Lions,2020,5
Detroit Lions,2021,9
Detroit Lions,2022,6
Detroit Lions,2023,9
Detroit Lions,2024,5
